Name,ID,Club_Name,Club_Event,Club_Event_Role,Fest_Name,Fest_Event,Fest_Event_Organiser
Arman Griswold,18XJ1A0336,[nan],[nan],[nan],"['fest_2', 'fest_1']","['fest_2_event_8', 'fest_1_event_7', 'fest_1_event_2', 'fest_2_event_15', 'fest_1_event_6', 'fest_1_event_4', 'fest_2_event_13', 'fest_2_event_12', 'fest_1_event_11', 'fest_1_event_1', 'fest_2_event_7', 'fest_2_event_14', 'fest_2_event_10', 'fest_2_event_9', 'fest_1_event_3', 'fest_2_event_6', 'fest_2_event_3', 'fest_2_event_5', 'fest_2_event_4', 'fest_2_event_2', 'fest_1_event_12', 'fest_1_event_8', 'fest_1_event_9', 'fest_1_event_13']",[nan]
Ashanti Koenig,17XJ1A0213,[nan],[nan],[nan],"['fest_1', 'fest_2']","['fest_1_event_8', 'fest_2_event_6', 'fest_2_event_7', 'fest_1_event_4', 'fest_1_event_13', 'fest_2_event_5', 'fest_2_event_4', 'fest_2_event_15', 'fest_1_event_7', 'fest_1_event_5', 'fest_2_event_10', 'fest_2_event_3', 'fest_1_event_3', 'fest_1_event_2', 'fest_2_event_2', 'fest_1_event_11', 'fest_1_event_6', 'fest_2_event_1', 'fest_1_event_9', 'fest_1_event_1']",['organiser_8']
Ashton Connelly,17XJ1A0152,[nan],[nan],[nan],[nan],[nan],[nan]
Ashtyn Benjamin,17XJ1A0204,['club_2'],"['club_2_event_3', 'club_2_event_2']",['Participant'],[nan],[nan],[nan]
Ashtyn Inman,18XJ1A0137,"['club_1', 'club_2', 'club_3']","['club_1_event_3', 'club_2_event_1', 'club_3_event_1', 'club_3_event_2']",['Participant'],"['fest_2', 'fest_1']","['fest_1_event_2', 'fest_1_event_9', 'fest_2_event_13', 'fest_1_event_4', 'fest_1_event_7', 'fest_2_event_4', 'fest_2_event_8', 'fest_1_event_11', 'fest_1_event_10', 'fest_1_event_5', 'fest_2_event_2', 'fest_2_event_11', 'fest_1_event_1', 'fest_1_event_6', 'fest_1_event_12', 'fest_1_event_13', 'fest_2_event_5', 'fest_2_event_1', 'fest_2_event_12', 'fest_2_event_9', 'fest_2_event_10']",[nan]
Audra Bowling,17XJ1A0307,[nan],[nan],[nan],['fest_1'],['fest_1_event_11'],[nan]
Augustus Sullivan,17XJ1A0260,[nan],[nan],[nan],[nan],[nan],[nan]
Autum Kohn,18XJ1A0281,[nan],[nan],[nan],"['fest_2', 'fest_1']","['fest_2_event_7', 'fest_1_event_5', 'fest_2_event_4', 'fest_2_event_14', 'fest_2_event_2', 'fest_2_event_15', 'fest_2_event_5', 'fest_2_event_3', 'fest_1_event_4', 'fest_1_event_3', 'fest_2_event_8', 'fest_1_event_6', 'fest_2_event_13', 'fest_1_event_8', 'fest_1_event_9', 'fest_1_event_1']",[nan]
Avery Andrews,17XJ1A0290,[nan],[nan],[nan],"['fest_1', 'fest_2']","['fest_1_event_13', 'fest_2_event_2', 'fest_2_event_6', 'fest_1_event_1', 'fest_1_event_10', 'fest_2_event_5', 'fest_1_event_9', 'fest_2_event_12', 'fest_2_event_8', 'fest_2_event_15', 'fest_1_event_12', 'fest_1_event_7', 'fest_1_event_3', 'fest_2_event_11', 'fest_2_event_9', 'fest_2_event_4', 'fest_2_event_13']",[nan]
Aya Kennedy,18XJ1A0107,['club_2'],['club_2_event_2'],['Participant'],"['fest_2', 'fest_1']","['fest_2_event_10', 'fest_2_event_11', 'fest_2_event_5', 'fest_1_event_1', 'fest_2_event_13', 'fest_2_event_1', 'fest_2_event_4', 'fest_2_event_8']",['organiser_1']
Aylin Seals,17XJ1A0149,"['club_1', 'club_3']","['club_1_event_1', 'club_1_event_3', 'club_3_event_1', 'club_3_event_2']","['organiser_4', 'Participant']","['fest_1', 'fest_2']","['fest_1_event_1', 'fest_2_event_4', 'fest_2_event_3', 'fest_2_event_11', 'fest_2_event_2', 'fest_2_event_5', 'fest_1_event_4', 'fest_2_event_6']",['organiser_6']
Baby Heaton,17XJ1A0117,"['club_1', 'club_2', 'club_3']","['club_1_event_3', 'club_1_event_2', 'club_2_event_1', 'club_2_event_2', 'club_3_event_3', 'club_3_event_1']",['Participant'],['fest_1'],['fest_1_event_1'],[nan]
Barry Laird,18XJ1A0347,[nan],[nan],[nan],"['fest_2', 'fest_1']","['fest_2_event_9', 'fest_1_event_6', 'fest_2_event_14', 'fest_1_event_10', 'fest_1_event_12', 'fest_1_event_3', 'fest_1_event_13', 'fest_1_event_5', 'fest_2_event_5', 'fest_2_event_7', 'fest_2_event_8', 'fest_2_event_13', 'fest_2_event_12', 'fest_2_event_2', 'fest_1_event_8', 'fest_1_event_9', 'fest_2_event_11']",[nan]
Ben Alston,18XJ1A0267,[nan],[nan],[nan],['fest_1'],['fest_1_event_13'],[nan]
Betsy Blake,17XJ1A0162,[nan],[nan],[nan],"['fest_1', 'fest_2']","['fest_1_event_10', 'fest_2_event_9', 'fest_1_event_6', 'fest_1_event_7', 'fest_1_event_2', 'fest_2_event_7', 'fest_2_event_6', 'fest_2_event_12', 'fest_2_event_4', 'fest_1_event_9', 'fest_1_event_13', 'fest_1_event_5', 'fest_1_event_3', 'fest_2_event_15', 'fest_2_event_1', 'fest_2_event_8', 'fest_2_event_2', 'fest_1_event_8']",[nan]
Blaine Mckenzie,17XJ1A0167,"['club_1', 'club_2', 'club_3']","['club_1_event_1', 'club_1_event_2', 'club_2_event_1', 'club_3_event_2']",['Participant'],"['fest_2', 'fest_1']","['fest_2_event_4', 'fest_2_event_11', 'fest_1_event_3', 'fest_1_event_12', 'fest_1_event_8', 'fest_1_event_13', 'fest_1_event_5', 'fest_2_event_1', 'fest_2_event_2', 'fest_2_event_5', 'fest_1_event_6', 'fest_1_event_4', 'fest_1_event_2', 'fest_2_event_3']",['organiser_7']
Blayne Pollock,17XJ1A0148,[nan],[nan],[nan],"['fest_2', 'fest_1']","['fest_2_event_8', 'fest_2_event_15', 'fest_1_event_9', 'fest_1_event_6', 'fest_1_event_4', 'fest_1_event_1', 'fest_1_event_11', 'fest_1_event_13', 'fest_1_event_3', 'fest_1_event_12', 'fest_2_event_1', 'fest_1_event_2', 'fest_2_event_6', 'fest_2_event_2', 'fest_2_event_11', 'fest_1_event_7', 'fest_2_event_5', 'fest_2_event_10', 'fest_2_event_12', 'fest_2_event_3', 'fest_2_event_13']",[nan]
Braden Thorne,18XJ1A0111,[nan],[nan],[nan],['fest_2'],"['fest_2_event_2', 'fest_2_event_9', 'fest_2_event_13']",[nan]
Bradley Mazur,18XJ1A0198,"['club_1', 'club_2']","['club_1_event_1', 'club_1_event_2', 'club_2_event_1']",['Participant'],[nan],[nan],[nan]
Brady Grissom,18XJ1A0149,[nan],[nan],[nan],"['fest_2', 'fest_1']","['fest_2_event_15', 'fest_2_event_6', 'fest_2_event_11', 'fest_2_event_10', 'fest_2_event_4', 'fest_2_event_7', 'fest_1_event_6', 'fest_1_event_5', 'fest_2_event_9', 'fest_2_event_12', 'fest_2_event_5', 'fest_1_event_8', 'fest_2_event_13', 'fest_1_event_7', 'fest_2_event_1', 'fest_1_event_13', 'fest_1_event_2']",[nan]
Braeden Etheridge,17XJ1A0277,[nan],[nan],[nan],['fest_2'],['fest_2_event_2'],[nan]
Branson Harman,18XJ1A0110,[nan],[nan],[nan],"['fest_2', 'fest_1']","['fest_2_event_3', 'fest_1_event_5', 'fest_2_event_15', 'fest_2_event_4', 'fest_1_event_4', 'fest_1_event_3', 'fest_2_event_8', 'fest_2_event_12', 'fest_2_event_9', 'fest_2_event_5', 'fest_2_event_11', 'fest_2_event_7', 'fest_1_event_13', 'fest_1_event_10', 'fest_1_event_12', 'fest_2_event_14']",[nan]
Breanne Concepcion,17XJ1A0236,['club_1'],['club_1_event_1'],['Participant'],"['fest_2', 'fest_1']","['fest_2_event_1', 'fest_1_event_4', 'fest_1_event_1', 'fest_2_event_5', 'fest_2_event_3', 'fest_2_event_2']",[nan]
Brennan Keck,18XJ1A0200,[nan],[nan],[nan],"['fest_1', 'fest_2']","['fest_1_event_9', 'fest_2_event_7', 'fest_1_event_8', 'fest_2_event_10', 'fest_2_event_15', 'fest_1_event_2', 'fest_2_event_2', 'fest_2_event_13', 'fest_2_event_9', 'fest_2_event_4', 'fest_1_event_11', 'fest_2_event_3', 'fest_1_event_4', 'fest_1_event_5', 'fest_1_event_6', 'fest_1_event_3', 'fest_2_event_1', 'fest_2_event_12', 'fest_2_event_5', 'fest_1_event_10']",[nan]
Brennen Ellison,17XJ1A0209,"['club_1', 'club_2', 'club_3']","['club_1_event_1', 'club_1_event_2', 'club_2_event_1', 'club_2_event_2', 'club_3_event_1', 'club_3_event_2']",['Participant'],"['fest_2', 'fest_1']","['fest_2_event_1', 'fest_2_event_3', 'fest_2_event_5', 'fest_1_event_4', 'fest_2_event_4', 'fest_1_event_2', 'fest_2_event_8']",[nan]
Brianna Embry,18XJ1A0116,"['club_1', 'club_2']","['club_1_event_1', 'club_2_event_2']",['Participant'],"['fest_1', 'fest_2']","['fest_1_event_5', 'fest_2_event_4', 'fest_1_event_1', 'fest_1_event_3', 'fest_2_event_5']",[nan]
Brionna Grimes,18XJ1A0285,"['club_1', 'club_2', 'club_3']","['club_1_event_1', 'club_1_event_2', 'club_2_event_2', 'club_2_event_1', 'club_3_event_2', 'club_3_event_3', 'club_3_event_1']","['Participant', 'organiser_2']",['fest_2'],['fest_2_event_3'],[nan]
Britton Gillespie,18XJ1A0266,"['club_1', 'club_2', 'club_3']","['club_1_event_1', 'club_1_event_2', 'club_2_event_1', 'club_3_event_3']",['Participant'],[nan],[nan],[nan]
Briza Buford,18XJ1A0238,['club_1'],['club_1_event_1'],['Participant'],"['fest_2', 'fest_1']","['fest_2_event_2', 'fest_2_event_5', 'fest_2_event_6', 'fest_2_event_12', 'fest_2_event_7', 'fest_1_event_8', 'fest_2_event_10', 'fest_1_event_1', 'fest_1_event_11', 'fest_2_event_4', 'fest_1_event_6', 'fest_1_event_13', 'fest_1_event_2', 'fest_1_event_7', 'fest_2_event_1', 'fest_1_event_5', 'fest_1_event_3', 'fest_1_event_9', 'fest_2_event_3', 'fest_2_event_8']",[nan]
Brooke Delgadillo,18XJ1A0333,[nan],[nan],[nan],"['fest_2', 'fest_1']","['fest_2_event_14', 'fest_2_event_1', 'fest_1_event_9', 'fest_2_event_4', 'fest_1_event_13', 'fest_2_event_3', 'fest_1_event_7', 'fest_2_event_8', 'fest_2_event_12', 'fest_2_event_15', 'fest_1_event_4', 'fest_1_event_12', 'fest_1_event_5', 'fest_1_event_2', 'fest_2_event_7', 'fest_1_event_3', 'fest_2_event_2', 'fest_1_event_8', 'fest_2_event_11', 'fest_1_event_1']",[nan]
Caelan Infante,17XJ1A0232,[nan],[nan],[nan],"['fest_1', 'fest_2']","['fest_1_event_10', 'fest_1_event_8', 'fest_1_event_13', 'fest_2_event_10', 'fest_1_event_6', 'fest_2_event_14', 'fest_1_event_7', 'fest_2_event_2', 'fest_2_event_5', 'fest_1_event_1', 'fest_2_event_6', 'fest_2_event_11', 'fest_1_event_11', 'fest_1_event_12', 'fest_2_event_13', 'fest_2_event_8', 'fest_2_event_9', 'fest_2_event_7', 'fest_1_event_2']",[nan]
Cailyn Seward,18XJ1A0192,"['club_1', 'club_2', 'club_3']","['club_1_event_2', 'club_2_event_1', 'club_3_event_2']",['Participant'],"['fest_2', 'fest_1']","['fest_2_event_3', 'fest_1_event_1', 'fest_2_event_1', 'fest_1_event_4', 'fest_1_event_2', 'fest_2_event_4', 'fest_1_event_5']",[nan]
Caleb Jeffries,17XJ1A0186,[nan],[nan],[nan],[nan],[nan],[nan]
Cameron Burleson,18XJ1A0160,['club_1'],['club_1_event_1'],['Participant'],['fest_1'],"['fest_1_event_7', 'fest_1_event_1', 'fest_1_event_9']",[nan]
Camille Curran,17XJ1A0245,[nan],[nan],[nan],"['fest_2', 'fest_1']","['fest_2_event_6', 'fest_2_event_8', 'fest_1_event_9', 'fest_2_event_3', 'fest_2_event_4', 'fest_2_event_7', 'fest_1_event_7', 'fest_1_event_11', 'fest_1_event_1', 'fest_2_event_13', 'fest_1_event_4']",[nan]
